stn;time;rre150h0
VEV;2021051700;0.0
VEV;2021051701;0.0
VEV;2021051702;0.0
VEV;2021051703;0.0
VEV;2021051704;0.0
VEV;2021051705;0.0
VEV;2021051706;0.6
VEV;2021051707;0.1
VEV;2021051708;0.8
VEV;2021051709;0.3
VEV;2021051710;0.4
VEV;2021051711;0.8
VEV;2021051712;0.0
VEV;2021051713;0.0
VEV;2021051714;3.3
VEV;2021051715;0.0
VEV;2021051716;0.3
VEV;2021051717;0.0
VEV;2021051718;0.7
VEV;2021051719;1.1
VEV;2021051720;2.6
VEV;2021051721;1.6
VEV;2021051722;0.7
VEV;2021051723;0.0
VEV;2021051800;0.1
VEV;2021051801;1.5
VEV;2021051802;1.3
VEV;2021051803;0.0
VEV;2021051804;0.5
VEV;2021051805;0.4
VEV;2021051806;0.0
VEV;2021051807;0.0
VEV;2021051808;0.0
VEV;2021051809;0.0
VEV;2021051810;0.0
VEV;2021051811;0.0
VEV;2021051812;0.0
VEV;2021051813;0.0
VEV;2021051814;0.0
VEV;2021051815;0.0
VEV;2021051816;0.0
VEV;2021051817;0.0
VEV;2021051818;0.0
VEV;2021051819;1.9
VEV;2021051820;1.4
VEV;2021051821;0.0
VEV;2021051822;0.0
VEV;2021051823;0.1
VEV;2021051900;0.0
VEV;2021051901;0.0
VEV;2021051902;0.0
VEV;2021051903;0.0
VEV;2021051904;0.0
VEV;2021051905;0.0
VEV;2021051906;0.0
VEV;2021051907;0.0
VEV;2021051908;0.0
VEV;2021051909;0.0
VEV;2021051910;0.0
VEV;2021051911;0.0
VEV;2021051912;0.0
VEV;2021051913;0.0
VEV;2021051914;0.0
VEV;2021051915;0.0
VEV;2021051916;0.0
VEV;2021051917;0.6
VEV;2021051918;0.0
VEV;2021051919;0.0
VEV;2021051920;0.8
VEV;2021051921;0.3
VEV;2021051922;0.0
VEV;2021051923;0.0
VEV;2021052000;0.0
VEV;2021052001;0.0
VEV;2021052002;0.1
VEV;2021052003;0.0
VEV;2021052004;0.0
VEV;2021052005;0.0
VEV;2021052006;0.0
VEV;2021052007;0.0
VEV;2021052008;0.0
VEV;2021052009;0.0
VEV;2021052010;0.0
VEV;2021052011;0.0
VEV;2021052012;0.0
VEV;2021052013;0.0
VEV;2021052014;0.0
VEV;2021052015;0.0
VEV;2021052016;0.0
VEV;2021052017;0.0
VEV;2021052018;0.0
VEV;2021052019;0.0
VEV;2021052020;0.0
VEV;2021052021;0.0
VEV;2021052022;0.0
VEV;2021052023;0.0
VEV;2021052100;0.0
VEV;2021052101;0.0
VEV;2021052102;0.0
VEV;2021052103;0.0
VEV;2021052104;0.0
VEV;2021052105;0.0
VEV;2021052106;0.0
VEV;2021052107;0.0
VEV;2021052108;0.0
VEV;2021052109;0.5
VEV;2021052110;0.6
VEV;2021052111;0.2
VEV;2021052112;0.0
VEV;2021052113;0.0
VEV;2021052114;0.2
VEV;2021052115;0.0
VEV;2021052116;0.0
VEV;2021052117;0.0
VEV;2021052118;4.6
VEV;2021052119;2.4
VEV;2021052120;7.3
VEV;2021052121;3.1
VEV;2021052122;5.0
VEV;2021052123;3.4
VEV;2021052200;0.7
VEV;2021052201;0.1
VEV;2021052202;0.1
VEV;2021052203;0.0
VEV;2021052204;0.0
VEV;2021052205;0.0
VEV;2021052206;0.0
VEV;2021052207;0.0
VEV;2021052208;0.0
VEV;2021052209;0.0
VEV;2021052210;0.0
VEV;2021052211;0.0
VEV;2021052212;0.0
VEV;2021052213;0.0
VEV;2021052214;0.0
VEV;2021052215;0.0
VEV;2021052216;0.0
VEV;2021052217;0.0
VEV;2021052218;0.0
VEV;2021052219;0.0
VEV;2021052220;0.0
VEV;2021052221;0.0
VEV;2021052222;0.6
VEV;2021052223;1.5
VEV;2021052300;0.0
VEV;2021052301;1.5
VEV;2021052302;1.0
VEV;2021052303;0.4
VEV;2021052304;0.0
VEV;2021052305;0.0
VEV;2021052306;0.0
VEV;2021052307;0.0
VEV;2021052308;0.0
VEV;2021052309;0.0
VEV;2021052310;0.0
VEV;2021052311;0.0
VEV;2021052312;0.0
VEV;2021052313;0.0
VEV;2021052314;0.0
VEV;2021052315;0.0
VEV;2021052316;0.0
VEV;2021052317;0.0
VEV;2021052318;0.0
VEV;2021052319;0.0
VEV;2021052320;0.0
VEV;2021052321;0.0
VEV;2021052322;0.0
VEV;2021052323;0.0
VEV;2021052400;0.0
VEV;2021052401;0.0
VEV;2021052402;0.0
VEV;2021052403;0.0
VEV;2021052404;0.0
VEV;2021052405;0.0
VEV;2021052406;0.0
VEV;2021052407;0.0
VEV;2021052408;0.0
VEV;2021052409;0.0
VEV;2021052410;0.0
VEV;2021052411;0.0
VEV;2021052412;0.0
VEV;2021052413;0.0
VEV;2021052414;0.0
VEV;2021052415;0.0
VEV;2021052416;0.0
VEV;2021052417;0.0
VEV;2021052418;0.0
VEV;2021052419;0.0
VEV;2021052420;0.0
VEV;2021052421;1.3
VEV;2021052422;0.1
VEV;2021052423;0.0
VEV;2021052500;0.0
VEV;2021052501;0.6
VEV;2021052502;0.0
VEV;2021052503;0.0
VEV;2021052504;0.0
VEV;2021052505;0.0
VEV;2021052506;0.0
VEV;2021052507;0.0
VEV;2021052508;0.0
VEV;2021052509;0.0
VEV;2021052510;0.0
VEV;2021052511;0.0
VEV;2021052512;0.0
VEV;2021052513;0.0
VEV;2021052514;0.0
VEV;2021052515;0.0
VEV;2021052516;0.0
VEV;2021052517;0.0
VEV;2021052518;0.0
VEV;2021052519;0.0
VEV;2021052520;0.0
VEV;2021052521;0.0
VEV;2021052522;0.0
VEV;2021052523;0.0
VEV;2021052600;0.0
VEV;2021052601;0.0
VEV;2021052602;0.0
VEV;2021052603;0.0
VEV;2021052604;0.0
VEV;2021052605;0.0
VEV;2021052606;0.0
VEV;2021052607;0.0
VEV;2021052608;0.0
VEV;2021052609;0.0
VEV;2021052610;0.0
VEV;2021052611;0.0
VEV;2021052612;0.0
VEV;2021052613;0.0
VEV;2021052614;0.0
VEV;2021052615;0.0
VEV;2021052616;0.0
VEV;2021052617;0.0
VEV;2021052618;0.0
VEV;2021052619;0.0
VEV;2021052620;0.0
VEV;2021052621;0.0
VEV;2021052622;0.0
VEV;2021052623;0.0
VEV;2021052700;0.0
VEV;2021052701;0.0
VEV;2021052702;0.0
VEV;2021052703;0.0
VEV;2021052704;0.0
VEV;2021052705;0.0
VEV;2021052706;0.0
VEV;2021052707;0.0
VEV;2021052708;0.0
VEV;2021052709;0.0
VEV;2021052710;0.0
VEV;2021052711;0.0
VEV;2021052712;0.0
VEV;2021052713;0.0
VEV;2021052714;0.0
VEV;2021052715;0.0
VEV;2021052716;0.0
VEV;2021052717;0.0
VEV;2021052718;0.0
VEV;2021052719;0.0
VEV;2021052720;0.0
VEV;2021052721;0.0
VEV;2021052722;0.0
VEV;2021052723;0.0
VEV;2021052800;0.0
VEV;2021052801;0.0
VEV;2021052802;0.0
VEV;2021052803;0.0
VEV;2021052804;0.0
VEV;2021052805;0.0
VEV;2021052806;0.0
VEV;2021052807;0.0
VEV;2021052808;0.0
VEV;2021052809;0.0
VEV;2021052810;0.0
VEV;2021052811;0.0
VEV;2021052812;0.0
VEV;2021052813;0.0
VEV;2021052814;0.0
VEV;2021052815;0.0
VEV;2021052816;0.0
VEV;2021052817;0.0
VEV;2021052818;0.0
VEV;2021052819;0.0
VEV;2021052820;0.0
VEV;2021052821;0.0
VEV;2021052822;0.0
VEV;2021052823;0.0
VEV;2021052900;0.0
VEV;2021052901;0.0
VEV;2021052902;0.0
VEV;2021052903;0.0
VEV;2021052904;0.0
VEV;2021052905;0.0
VEV;2021052906;0.0
VEV;2021052907;0.0
VEV;2021052908;0.0
VEV;2021052909;0.0
VEV;2021052910;0.0
VEV;2021052911;0.0
VEV;2021052912;0.0
VEV;2021052913;0.0
VEV;2021052914;0.0
VEV;2021052915;0.0
VEV;2021052916;0.0
VEV;2021052917;0.0
VEV;2021052918;0.0
VEV;2021052919;0.0
VEV;2021052920;0.0
VEV;2021052921;0.0
VEV;2021052922;0.0
VEV;2021052923;0.0
VEV;2021053000;0.0
VEV;2021053001;0.0
VEV;2021053002;0.0
VEV;2021053003;0.0
VEV;2021053004;0.0
VEV;2021053005;0.0
VEV;2021053006;0.0
VEV;2021053007;0.0
VEV;2021053008;0.0
VEV;2021053009;0.0
VEV;2021053010;0.0
VEV;2021053011;0.0
VEV;2021053012;0.0
VEV;2021053013;0.0
VEV;2021053014;0.0
VEV;2021053015;0.0
VEV;2021053016;0.0
VEV;2021053017;0.0
VEV;2021053018;0.0
VEV;2021053019;0.0
VEV;2021053020;0.0
VEV;2021053021;0.0
VEV;2021053022;0.0
VEV;2021053023;0.0
VEV;2021053100;0.0
VEV;2021053101;0.0
VEV;2021053102;0.0
VEV;2021053103;0.0
VEV;2021053104;0.0
VEV;2021053105;0.0
VEV;2021053106;0.0
VEV;2021053107;0.0
VEV;2021053108;0.0
VEV;2021053109;0.0
VEV;2021053110;0.0
VEV;2021053111;0.0
VEV;2021053112;0.0
VEV;2021053113;0.0
VEV;2021053114;0.0
VEV;2021053115;0.0
VEV;2021053116;0.0
VEV;2021053117;0.0
VEV;2021053118;0.0
VEV;2021053119;0.0
VEV;2021053120;0.0
VEV;2021053121;0.0
VEV;2021053122;0.0
VEV;2021053123;0.0
VEV;2021060100;0.0
VEV;2021060101;0.0
VEV;2021060102;0.0
VEV;2021060103;0.0
VEV;2021060104;0.0
VEV;2021060105;0.0
VEV;2021060106;0.0
VEV;2021060107;0.0
VEV;2021060108;0.0
VEV;2021060109;0.0
VEV;2021060110;0.0
VEV;2021060111;0.0
VEV;2021060112;0.0
VEV;2021060113;0.0
VEV;2021060114;0.0
VEV;2021060115;0.0
VEV;2021060116;0.0
VEV;2021060117;0.0
VEV;2021060118;0.0
VEV;2021060119;0.0
VEV;2021060120;0.0
VEV;2021060121;0.0
VEV;2021060122;0.0
VEV;2021060123;0.0
VEV;2021060200;0.0
VEV;2021060201;0.0
VEV;2021060202;0.0
VEV;2021060203;0.0
VEV;2021060204;0.0
VEV;2021060205;0.0
VEV;2021060206;0.0
VEV;2021060207;0.0
VEV;2021060208;0.0
VEV;2021060209;0.0
VEV;2021060210;0.0
VEV;2021060211;0.0
VEV;2021060212;0.0
VEV;2021060213;0.0
VEV;2021060214;0.0
VEV;2021060215;0.0
VEV;2021060216;0.0
VEV;2021060217;0.0
VEV;2021060218;0.0
VEV;2021060219;0.0
VEV;2021060220;0.0
VEV;2021060221;0.0
VEV;2021060222;0.0
VEV;2021060223;0.0
VEV;2021060300;0.0
VEV;2021060301;0.0
VEV;2021060302;0.0
VEV;2021060303;0.0
VEV;2021060304;0.0
