stn;time;rre150z0
VEV;202105181650;0.0
VEV;202105181700;0.0
VEV;202105181710;0.0
VEV;202105181720;0.0
VEV;202105181730;0.0
VEV;202105181740;0.0
VEV;202105181750;0.0
VEV;202105181800;0.0
VEV;202105181810;0.0
VEV;202105181820;0.1
VEV;202105181830;0.3
VEV;202105181840;0.5
VEV;202105181850;0.6
VEV;202105181900;0.4
VEV;202105181910;0.9
VEV;202105181920;0.5
VEV;202105181930;0.0
VEV;202105181940;0.0
VEV;202105181950;0.0
VEV;202105182000;0.0
VEV;202105182010;0.0
VEV;202105182020;0.0
VEV;202105182030;0.0
VEV;202105182040;0.0
VEV;202105182050;0.0
VEV;202105182100;0.0
VEV;202105182110;0.0
VEV;202105182120;0.0
VEV;202105182130;0.0
VEV;202105182140;0.0
VEV;202105182150;0.0
VEV;202105182200;0.0
VEV;202105182210;0.1
VEV;202105182220;0.0
VEV;202105182230;0.0
VEV;202105182240;0.0
VEV;202105182250;0.0
VEV;202105182300;0.0
VEV;202105182310;0.0
VEV;202105182320;0.0
VEV;202105182330;0.0
VEV;202105182340;0.0
VEV;202105182350;0.0
VEV;202105190000;0.0
VEV;202105190010;0.0
VEV;202105190020;0.0
VEV;202105190030;0.0
VEV;202105190040;0.0
VEV;202105190050;0.0
VEV;202105190100;0.0
VEV;202105190110;0.0
VEV;202105190120;0.0
VEV;202105190130;0.0
VEV;202105190140;0.0
VEV;202105190150;0.0
VEV;202105190200;0.0
VEV;202105190210;0.0
VEV;202105190220;0.0
VEV;202105190230;0.0
VEV;202105190240;0.0
VEV;202105190250;0.0
VEV;202105190300;0.0
VEV;202105190310;0.0
VEV;202105190320;0.0
VEV;202105190330;0.0
VEV;202105190340;0.0
VEV;202105190350;0.0
VEV;202105190400;0.0
VEV;202105190410;0.0
VEV;202105190420;0.0
VEV;202105190430;0.0
VEV;202105190440;0.0
VEV;202105190450;0.0
VEV;202105190500;0.0
VEV;202105190510;0.0
VEV;202105190520;0.0
VEV;202105190530;0.0
VEV;202105190540;0.0
VEV;202105190550;0.0
VEV;202105190600;0.0
VEV;202105190610;0.0
VEV;202105190620;0.0
VEV;202105190630;0.0
VEV;202105190640;0.0
VEV;202105190650;0.0
VEV;202105190700;0.0
VEV;202105190710;0.0
VEV;202105190720;0.0
VEV;202105190730;0.0
VEV;202105190740;0.0
VEV;202105190750;0.0
VEV;202105190800;0.0
VEV;202105190810;0.0
VEV;202105190820;0.0
VEV;202105190830;0.0
VEV;202105190840;0.0
VEV;202105190850;0.0
VEV;202105190900;0.0
VEV;202105190910;0.0
VEV;202105190920;0.0
VEV;202105190930;0.0
VEV;202105190940;0.0
VEV;202105190950;0.0
VEV;202105191000;0.0
VEV;202105191010;0.0
VEV;202105191020;0.0
VEV;202105191030;0.0
VEV;202105191040;0.0
VEV;202105191050;0.0
VEV;202105191100;0.0
VEV;202105191110;0.0
VEV;202105191120;0.0
VEV;202105191130;0.0
VEV;202105191140;0.0
VEV;202105191150;0.0
VEV;202105191200;0.0
VEV;202105191210;0.0
VEV;202105191220;0.0
VEV;202105191230;0.0
VEV;202105191240;0.0
VEV;202105191250;0.0
VEV;202105191300;0.0
VEV;202105191310;0.0
VEV;202105191320;0.0
VEV;202105191330;0.0
VEV;202105191340;0.0
VEV;202105191350;0.0
VEV;202105191400;0.0
VEV;202105191410;0.0
VEV;202105191420;0.0
VEV;202105191430;0.0
VEV;202105191440;0.0
VEV;202105191450;0.0
VEV;202105191500;0.0
VEV;202105191510;0.0
VEV;202105191520;0.0
VEV;202105191530;0.0
VEV;202105191540;0.0
VEV;202105191550;0.0
VEV;202105191600;0.0
VEV;202105191610;0.4
VEV;202105191620;0.0
VEV;202105191630;0.0
VEV;202105191640;0.2
VEV;202105191650;0.0
VEV;202105191700;0.0
VEV;202105191710;0.0
VEV;202105191720;0.0
VEV;202105191730;0.0
VEV;202105191740;0.0
VEV;202105191750;0.0
VEV;202105191800;0.0
VEV;202105191810;0.0
VEV;202105191820;0.0
VEV;202105191830;0.0
VEV;202105191840;0.0
VEV;202105191850;0.0
VEV;202105191900;0.0
VEV;202105191910;0.0
VEV;202105191920;0.0
VEV;202105191930;0.0
VEV;202105191940;0.0
VEV;202105191950;0.2
VEV;202105192000;0.6
VEV;202105192010;0.3
VEV;202105192020;0.0
VEV;202105192030;0.0
VEV;202105192040;0.0
VEV;202105192050;0.0
VEV;202105192100;0.0
VEV;202105192110;0.0
VEV;202105192120;0.0
VEV;202105192130;0.0
VEV;202105192140;0.0
VEV;202105192150;0.0
VEV;202105192200;0.0
VEV;202105192210;0.0
VEV;202105192220;0.0
VEV;202105192230;0.0
VEV;202105192240;0.0
VEV;202105192250;0.0
VEV;202105192300;0.0
VEV;202105192310;0.0
VEV;202105192320;0.0
VEV;202105192330;0.0
VEV;202105192340;0.0
VEV;202105192350;0.0
VEV;202105200000;0.0
VEV;202105200010;0.0
VEV;202105200020;0.0
VEV;202105200030;0.0
VEV;202105200040;0.0
VEV;202105200050;0.0
VEV;202105200100;0.0
VEV;202105200110;0.0
VEV;202105200120;0.0
VEV;202105200130;0.0
VEV;202105200140;0.1
VEV;202105200150;0.0
VEV;202105200200;0.0
VEV;202105200210;0.0
VEV;202105200220;0.0
VEV;202105200230;0.0
VEV;202105200240;0.0
VEV;202105200250;0.0
VEV;202105200300;0.0
VEV;202105200310;0.0
VEV;202105200320;0.0
VEV;202105200330;0.0
VEV;202105200340;0.0
VEV;202105200350;0.0
VEV;202105200400;0.0
VEV;202105200410;0.0
VEV;202105200420;0.0
VEV;202105200430;0.0
VEV;202105200440;0.0
VEV;202105200450;0.0
VEV;202105200500;0.0
VEV;202105200510;0.0
VEV;202105200520;0.0
VEV;202105200530;0.0
VEV;202105200540;0.0
VEV;202105200550;0.0
VEV;202105200600;0.0
VEV;202105200610;0.0
VEV;202105200620;0.0
VEV;202105200630;0.0
VEV;202105200640;0.0
